Order Date,Ship Date,Order ID,Sales Channel,Order Priority,Product ID,Product Category,Product Name,Unit Cost ($),Unit Price ($),Customer ID,Customer Name,Customer Segment,Country,Region,City,Quantity,Gross Sales ($),Discount %,Discount Amount ($),Net Sales ($),Total Cost ($),Gross Profit ($),Profit Margin %,Shipping Cost ($),Ship Mode,Delivery Status,Customer Rating
30-06-2025,05-07-2025,BE-10039,Distributor,Critical,PROD-MOB-78,Mobile,Quantum Phone X,400.0,899.0,CUST-657,Customer 657,Corporate,Mexico,LATAM,Mexico City,2,1798.0,5.0%,89.90,1708.10,800.00,908.10,53.2%,4.99,Standard,Delivered,4
25-06-2024,28-06-2024,BE-10040,In-Store,High,PROD-MOB-98,Mobile,Quantum Phone X,400.0,899.0,CUST-338,Customer 338,Consumer,USA,NA,New York,2,1798.0,0.0%,0.00,1798.00,800.00,998.00,55.5%,4.80,Standard,Delivered,5
12-05-2026,16-05-2026,BE-10041,Online,High,PROD-COM-32,Computing,Titan Laptop,600.0,1299.0,CUST-808,Customer 808,Corporate,France,EMEA,Paris,1,1299.0,0.0%,0.00,1299.00,600.00,699.00,53.8%,2.62,Standard,Returned,5
24-03-2025,28-03-2025,BE-10042,Distributor,Medium,PROD-MOB-81,Mobile,Alpha Lite,150.0,349.0,CUST-545,Customer 545,Corporate,Germany,EMEA,Berlin,3,1047.0,5.0%,52.35,994.65,450.00,544.65,54.8%,13.67,Express,Returned,2
04-04-2026,07-04-2026,BE-10043,In-Store,High,PROD-WEA-23,Wearables,FitTrack Watch,50.0,149.0,CUST-862,Customer 862,Education,Germany,EMEA,Berlin,6,894.0,5.0%,44.70,849.30,300.00,549.30,64.7%,23.46,Overnight,Delivered,5
05-09-2024,08-09-2024,BE-10044,Online,Critical,PROD-SMA-60,Smart Home,Beacon Camera,35.0,99.0,CUST-407,Customer 407,Corporate,Brazil,LATAM,Sao Paulo,10,990.0,10.0%,99.00,891.00,350.00,541.00,60.7%,21.99,Standard,Returned,4
05-05-2024,09-05-2024,BE-10045,Distributor,Medium,PROD-COM-32,Computing,Pro Monitor 27,120.0,279.0,CUST-304,Customer 304,Education,UK,EMEA,London,3,837.0,15.0%,125.55,711.45,360.00,351.45,49.4%,10.64,Express,Delivered,3
05-01-2024,08-01-2024,BE-10046,Online,Medium,PROD-MOB-31,Mobile,Quantum Phone X,400.0,899.0,CUST-888,Customer 888,Consumer,USA,NA,Los Angeles,14,12586.0,0.0%,0.00,12586.00,5600.00,6986.00,55.5%,49.14,Standard,Delivered,2
30-04-2024,04-05-2024,BE-10047,Online,Low,PROD-COM-57,Computing,Pro Monitor 27,120.0,279.0,CUST-146,Customer 146,Consumer,Brazil,LATAM,Sao Paulo,3,837.0,0.0%,0.00,837.00,360.00,477.00,57.0%,7.88,Overnight,Delayed,3
18-03-2024,21-03-2024,BE-10048,Distributor,Medium,PROD-WEA-23,Wearables,Aura Smart Ring,70.0,199.0,CUST-127,Customer 127,Education,Australia,APAC,Sydney,7,1393.0,5.0%,69.65,1323.35,490.00,833.35,63.0%,25.17,Standard,Delayed,4
15-01-2024,17-01-2024,BE-10049,Distributor,Medium,PROD-WEA-83,Wearables,Aura Smart Ring,70.0,199.0,CUST-982,Customer 982,Education,Germany,EMEA,Berlin,14,2786.0,0.0%,0.00,2786.00,980.00,1806.00,64.8%,65.40,Standard,Delivered,5
25-05-2024,26-05-2024,BE-10050,Online,Medium,PROD-MOB-17,Mobile,Quantum Phone X,400.0,899.0,CUST-208,Customer 208,Corporate,USA,NA,New York,6,5394.0,15.0%,809.10,4584.90,2400.00,2184.90,47.7%,22.94,Overnight,Delivered,5
11-01-2025,13-01-2025,BE-10051,Distributor,Medium,PROD-WEA-79,Wearables,Aura Smart Ring,70.0,199.0,CUST-840,Customer 840,Corporate,Japan,APAC,Tokyo,14,2786.0,10.0%,278.60,2507.40,980.00,1527.40,60.9%,30.34,Standard,Delivered,4
16-08-2024,23-08-2024,BE-10052,Distributor,High,PROD-MOB-84,Mobile,Alpha Lite,150.0,349.0,CUST-139,Customer 139,Consumer,Germany,EMEA,Berlin,3,1047.0,10.0%,104.70,942.30,450.00,492.30,52.2%,12.47,Overnight,Delivered,4
06-10-2025,08-10-2025,BE-10053,Online,High,PROD-SMA-93,Smart Home,Omni Speaker,25.0,69.0,CUST-399,Customer 399,Education,USA,NA,Los Angeles,14,966.0,0.0%,0.00,966.00,350.00,616.00,63.8%,52.41,Overnight,Delayed,4
03-11-2025,06-11-2025,BE-10054,In-Store,Critical,PROD-MOB-32,Mobile,Quantum Phone X,400.0,899.0,CUST-358,Customer 358,Consumer,Mexico,LATAM,Mexico City,4,3596.0,0.0%,0.00,3596.00,1600.00,1996.00,55.5%,16.18,Standard,Delivered,4
22-02-2025,25-02-2025,BE-10055,In-Store,Low,PROD-AUD-71,Audio,NeoBuds Pro,45.0,120.0,CUST-649,Customer 649,Education,USA,NA,Los Angeles,12,1440.0,0.0%,0.00,1440.00,540.00,900.00,62.5%,57.35,Express,Delivered,5
22-05-2026,26-05-2026,BE-10056,Online,Low,PROD-SMA-44,Smart Home,Beacon Camera,35.0,99.0,CUST-878,Customer 878,Education,Japan,APAC,Tokyo,10,990.0,15.0%,148.50,841.50,350.00,491.50,58.4%,29.49,Express,Delivered,5
07-09-2025,10-09-2025,BE-10057,Online,High,PROD-COM-47,Computing,Titan Laptop,600.0,1299.0,CUST-394,Customer 394,Education,USA,NA,New York,1,1299.0,15.0%,194.85,1104.15,600.00,504.15,45.7%,3.15,Express,Delivered,3
16-07-2024,22-07-2024,BE-10058,Distributor,High,PROD-COM-73,Computing,Apex Desktop,750.0,1599.0,CUST-138,Customer 138,Consumer,Mexico,LATAM,Mexico City,7,11193.0,5.0%,559.65,10633.35,5250.00,5383.35,50.6%,34.95,Standard,Delivered,3
10-09-2024,12-09-2024,BE-10059,Distributor,High,PROD-MOB-14,Mobile,Alpha Lite,150.0,349.0,CUST-388,Customer 388,Corporate,UK,EMEA,London,4,1396.0,0.0%,0.00,1396.00,600.00,796.00,57.0%,15.25,Overnight,Delivered,3
19-11-2024,23-11-2024,BE-10060,In-Store,Medium,PROD-MOB-45,Mobile,Quantum Phone X,400.0,899.0,CUST-146,Customer 146,Consumer,Brazil,LATAM,Sao Paulo,14,12586.0,15.0%,1887.90,10698.10,5600.00,5098.10,47.7%,52.50,Overnight,Delivered,5
05-08-2024,08-08-2024,BE-10061,Distributor,Critical,PROD-MOB-69,Mobile,Quantum Phone X,400.0,899.0,CUST-495,Customer 495,Consumer,Brazil,LATAM,Sao Paulo,8,7192.0,5.0%,359.60,6832.40,3200.00,3632.40,53.2%,34.51,Overnight,Delivered,4
06-04-2025,12-04-2025,BE-10062,In-Store,Medium,PROD-COM-10,Computing,Pro Monitor 27,120.0,279.0,CUST-128,Customer 128,Corporate,Germany,EMEA,Berlin,7,1953.0,15.0%,292.95,1660.05,840.00,820.05,49.4%,32.27,Overnight,Delivered,5
04-11-2024,07-11-2024,BE-10063,Online,Low,PROD-SMA-35,Smart Home,Omni Speaker,25.0,69.0,CUST-530,Customer 530,Consumer,France,EMEA,Paris,6,414.0,0.0%,0.00,414.00,150.00,264.00,63.8%,18.25,Express,Delayed,4
01-02-2026,03-02-2026,BE-10064,In-Store,Low,PROD-AUD-61,Audio,Aero Headphones,80.0,199.0,CUST-975,Customer 975,Consumer,USA,NA,New York,11,2189.0,5.0%,109.45,2079.55,880.00,1199.55,57.7%,22.43,Standard,Delivered,5
19-11-2025,22-11-2025,BE-10065,Online,Medium,PROD-SMA-70,Smart Home,Omni Speaker,25.0,69.0,CUST-460,Customer 460,Consumer,France,EMEA,Paris,3,207.0,0.0%,0.00,207.00,75.00,132.00,63.8%,14.08,Express,Delivered,1
23-05-2024,26-05-2024,BE-10066,Distributor,Medium,PROD-MOB-87,Mobile,Quantum Phone X,400.0,899.0,CUST-385,Customer 385,Corporate,UK,EMEA,London,2,1798.0,0.0%,0.00,1798.00,800.00,998.00,55.5%,8.59,Standard,Delivered,2
10-03-2026,12-03-2026,BE-10067,Online,Low,PROD-COM-43,Computing,Apex Desktop,750.0,1599.0,CUST-742,Customer 742,Corporate,India,APAC,Mumbai,8,12792.0,0.0%,0.00,12792.00,6000.00,6792.00,53.1%,21.33,Overnight,Delivered,1
30-01-2026,03-02-2026,BE-10068,In-Store,High,PROD-COM-17,Computing,Pro Monitor 27,120.0,279.0,CUST-153,Customer 153,Corporate,Mexico,LATAM,Mexico City,14,3906.0,10.0%,390.60,3515.40,1680.00,1835.40,52.2%,44.68,Standard,Delivered,4
07-01-2024,11-01-2024,BE-10069,Distributor,Low,PROD-AUD-94,Audio,Aero Headphones,80.0,199.0,CUST-922,Customer 922,Education,Brazil,LATAM,Sao Paulo,12,2388.0,10.0%,238.80,2149.20,960.00,1189.20,55.3%,56.78,Standard,Delivered,4
07-12-2025,10-12-2025,BE-10070,Online,Medium,PROD-SMA-14,Smart Home,Beacon Camera,35.0,99.0,CUST-485,Customer 485,Corporate,USA,NA,Los Angeles,5,495.0,0.0%,0.00,495.00,175.00,320.00,64.7%,24.23,Express,Delivered,3
23-09-2025,30-09-2025,BE-10071,In-Store,High,PROD-AUD-90,Audio,Wave Soundbar,110.0,299.0,CUST-257,Customer 257,Corporate,USA,NA,New York,7,2093.0,0.0%,0.00,2093.00,770.00,1323.00,63.2%,27.55,Express,Returned,4
01-09-2025,03-09-2025,BE-10072,Online,High,PROD-COM-27,Computing,Apex Desktop,750.0,1599.0,CUST-208,Customer 208,Consumer,Germany,EMEA,Berlin,1,1599.0,0.0%,0.00,1599.00,750.00,849.00,53.1%,3.49,Overnight,Delivered,3
04-04-2026,06-04-2026,BE-10073,Online,Medium,PROD-COM-21,Computing,Apex Desktop,750.0,1599.0,CUST-126,Customer 126,Education,UK,EMEA,London,1,1599.0,0.0%,0.00,1599.00,750.00,849.00,53.1%,3.15,Express,Delivered,4
28-12-2024,30-12-2024,BE-10074,Online,Medium,PROD-WEA-35,Wearables,Aura Smart Ring,70.0,199.0,CUST-921,Customer 921,Education,Mexico,LATAM,Mexico City,1,199.0,10.0%,19.90,179.10,70.00,109.10,60.9%,3.83,Express,Delivered,5
09-02-2025,13-02-2025,BE-10075,Distributor,Medium,PROD-AUD-45,Audio,Wave Soundbar,110.0,299.0,CUST-857,Customer 857,Education,Brazil,LATAM,Sao Paulo,1,299.0,0.0%,0.00,299.00,110.00,189.00,63.2%,3.79,Express,Delivered,4
13-12-2025,16-12-2025,BE-10076,Distributor,Medium,PROD-AUD-70,Audio,NeoBuds Pro,45.0,120.0,CUST-172,Customer 172,Consumer,Australia,APAC,Sydney,3,360.0,0.0%,0.00,360.00,135.00,225.00,62.5%,6.02,Overnight,Delivered,4
04-09-2025,05-09-2025,BE-10077,Online,Critical,PROD-COM-70,Computing,Titan Laptop,600.0,1299.0,CUST-374,Customer 374,Education,Canada,NA,Toronto,12,15588.0,5.0%,779.40,14808.60,7200.00,7608.60,51.4%,55.43,Overnight,Delivered,5
10-12-2025,17-12-2025,BE-10078,Distributor,Medium,PROD-MOB-21,Mobile,Quantum Phone X,400.0,899.0,CUST-473,Customer 473,Consumer,USA,NA,Los Angeles,10,8990.0,5.0%,449.50,8540.50,4000.00,4540.50,53.2%,49.98,Express,Delivered,5
30-11-2024,04-12-2024,BE-10079,In-Store,Medium,PROD-AUD-57,Audio,Aero Headphones,80.0,199.0,CUST-881,Customer 881,Consumer,France,EMEA,Paris,14,2786.0,0.0%,0.00,2786.00,1120.00,1666.00,59.8%,47.12,Overnight,Delivered,1
31-05-2024,02-06-2024,BE-10080,Online,Medium,PROD-SMA-12,Smart Home,Omni Speaker,25.0,69.0,CUST-258,Customer 258,Corporate,Australia,APAC,Sydney,12,828.0,5.0%,41.40,786.60,300.00,486.60,61.9%,52.94,Standard,Delivered,5
16-01-2024,19-01-2024,BE-10081,Distributor,Medium,PROD-SMA-75,Smart Home,Beacon Camera,35.0,99.0,CUST-260,Customer 260,Corporate,France,EMEA,Paris,7,693.0,0.0%,0.00,693.00,245.00,448.00,64.7%,22.06,Overnight,Delivered,1
21-04-2025,22-04-2025,BE-10082,Distributor,Medium,PROD-SMA-25,Smart Home,Omni Speaker,25.0,69.0,CUST-128,Customer 128,Corporate,Canada,NA,Toronto,7,483.0,5.0%,24.15,458.85,175.00,283.85,61.9%,29.38,Standard,Delivered,4
19-11-2024,23-11-2024,BE-10083,Online,Critical,PROD-WEA-57,Wearables,FitTrack Watch,50.0,149.0,CUST-769,Customer 769,Education,Canada,NA,Toronto,1,149.0,0.0%,0.00,149.00,50.00,99.00,66.4%,2.37,Overnight,Delayed,5
10-12-2025,17-12-2025,BE-10084,In-Store,Low,PROD-COM-86,Computing,Apex Desktop,750.0,1599.0,CUST-479,Customer 479,Education,Mexico,LATAM,Mexico City,13,20787.0,5.0%,1039.35,19747.65,9750.00,9997.65,50.6%,49.70,Standard,Delivered,1
05-08-2024,06-08-2024,BE-10085,Online,Low,PROD-MOB-15,Mobile,Quantum Phone X,400.0,899.0,CUST-924,Customer 924,Education,India,APAC,Mumbai,9,8091.0,15.0%,1213.65,6877.35,3600.00,3277.35,47.7%,44.86,Standard,Delivered,4
02-03-2024,09-03-2024,BE-10086,Online,Medium,PROD-COM-22,Computing,Pro Monitor 27,120.0,279.0,CUST-949,Customer 949,Consumer,Mexico,LATAM,Mexico City,5,1395.0,0.0%,0.00,1395.00,600.00,795.00,57.0%,23.16,Overnight,Delivered,4
07-01-2026,12-01-2026,BE-10087,Online,Medium,PROD-AUD-49,Audio,Aero Headphones,80.0,199.0,CUST-294,Customer 294,Education,France,EMEA,Paris,6,1194.0,0.0%,0.00,1194.00,480.00,714.00,59.8%,25.02,Express,Delivered,5
06-03-2026,07-03-2026,BE-10088,Online,Medium,PROD-AUD-49,Audio,Wave Soundbar,110.0,299.0,CUST-787,Customer 787,Consumer,Japan,APAC,Tokyo,3,897.0,0.0%,0.00,897.00,330.00,567.00,63.2%,12.10,Overnight,Delayed,5
26-05-2024,31-05-2024,BE-10089,Distributor,Low,PROD-SMA-68,Smart Home,Omni Speaker,25.0,69.0,CUST-315,Customer 315,Consumer,India,APAC,Mumbai,9,621.0,15.0%,93.15,527.85,225.00,302.85,57.4%,20.86,Overnight,Delivered,3
10-07-2025,15-07-2025,BE-10090,In-Store,Low,PROD-COM-32,Computing,Pro Monitor 27,120.0,279.0,CUST-846,Customer 846,Education,USA,NA,Los Angeles,7,1953.0,0.0%,0.00,1953.00,840.00,1113.00,57.0%,31.18,Express,Delivered,4
08-06-2025,12-06-2025,BE-10091,Distributor,Medium,PROD-AUD-26,Audio,NeoBuds Pro,45.0,120.0,CUST-323,Customer 323,Consumer,Japan,APAC,Tokyo,3,360.0,10.0%,36.00,324.00,135.00,189.00,58.3%,10.87,Express,Delivered,5
06-02-2024,08-02-2024,BE-10092,Distributor,Low,PROD-SMA-77,Smart Home,Beacon Camera,35.0,99.0,CUST-321,Customer 321,Corporate,USA,NA,Los Angeles,6,594.0,0.0%,0.00,594.00,210.00,384.00,64.7%,23.18,Overnight,Delayed,5
11-10-2024,14-10-2024,BE-10093,Online,Medium,PROD-COM-61,Computing,Pro Monitor 27,120.0,279.0,CUST-786,Customer 786,Consumer,India,APAC,Mumbai,6,1674.0,0.0%,0.00,1674.00,720.00,954.00,57.0%,26.74,Overnight,Delivered,4
07-01-2026,14-01-2026,BE-10094,Online,Low,PROD-AUD-22,Audio,Aero Headphones,80.0,199.0,CUST-529,Customer 529,Education,USA,NA,New York,11,2189.0,0.0%,0.00,2189.00,880.00,1309.00,59.8%,24.72,Express,Delivered,3
28-04-2026,05-05-2026,BE-10095,Distributor,Medium,PROD-SMA-30,Smart Home,Omni Speaker,25.0,69.0,CUST-806,Customer 806,Education,Mexico,LATAM,Mexico City,3,207.0,0.0%,0.00,207.00,75.00,132.00,63.8%,14.86,Standard,Delivered,5
11-06-2024,12-06-2024,BE-10096,Distributor,Critical,PROD-AUD-24,Audio,Wave Soundbar,110.0,299.0,CUST-261,Customer 261,Corporate,USA,NA,New York,13,3887.0,10.0%,388.70,3498.30,1430.00,2068.30,59.1%,56.07,Express,Delivered,1
23-11-2025,29-11-2025,BE-10097,In-Store,Medium,PROD-MOB-29,Mobile,Quantum Phone X,400.0,899.0,CUST-448,Customer 448,Corporate,France,EMEA,Paris,1,899.0,5.0%,44.95,854.05,400.00,454.05,53.2%,2.74,Standard,Delivered,4
26-12-2025,29-12-2025,BE-10098,Distributor,Critical,PROD-WEA-97,Wearables,Aura Smart Ring,70.0,199.0,CUST-930,Customer 930,Consumer,Brazil,LATAM,Sao Paulo,2,398.0,5.0%,19.90,378.10,140.00,238.10,63.0%,6.37,Overnight,Delivered,4
29-12-2025,03-01-2026,BE-10099,Distributor,Low,PROD-AUD-95,Audio,Aero Headphones,80.0,199.0,CUST-400,Customer 400,Consumer,Brazil,LATAM,Sao Paulo,14,2786.0,0.0%,0.00,2786.00,1120.00,1666.00,59.8%,48.95,Express,Delivered,4
